Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,
531,pork ears cooked,184,12,4.3,5.5,1.3,0.2,0,17.7,0,99.9,0.2,80.6,0,0.004,0,0,0.07,0.6,0.051,0.066,0,0,0,0,20,0.086,1.7,7.8,0.086,26.6,44.4,0.044,0.2,51.6,
532,pork tongue cooked,62.6,4.3,1.49,2.02,0.45,0,0,5.57,0,33.73,0.03,13.14,0,0.07,0.0019,0.0077,0.12,1.23,0.12,0.05,0.39,0,0,0,4.39,0.03,1.15,4.62,0.0054,40.19,54.75,0.004,1.05,15.8,
533,pork spareribs raw,359.3,30.35,9.77,11.08,5.13,0,0,20.06,0,103.76,0.11,77.5,0,0.41,0,0.0055,0.33,6.05,0.81,0.74,0,0.0084,0.48,0,19.46,0.1,1.18,20.75,0.01,182.88,313.87,0.03,3.24,71.05,
534,ham patties grilled,205,18.5,6.7,8.8,2,1,0,8,0,43.2,0.6,30.8,0,0.2,0.034,0.046,0.1,1.9,0.2,0.085,0,0.056,0.3,0,5.4,0.043,1,6,0.045,60.6,146.4,0.028,1.1,33.9,
535,chicken skin roasted,508,45.6,12.8,19.1,9.6,0,0,22.8,0,93,0.028,45.1,0.083,0.021,0.08,0.099,0.1,6.3,0.8,0.1,0,0.026,0.4,0.032,15.7,0.034,1.7,16.8,0.083,140,152.3,0.2,1.4,85.844,
536,turkey breast raw,355.4,15.89,4.32,6.02,3.76,0,0,49.56,0,147.16,0.13,158.59,0.0015,0.13,0.02,0.0004,0.26,11.77,1.41,1.09,0,0,0,0,29.43,0.17,2.72,54.34,0.04,421.1,622.6,0.05,3.55,97.6092,
537,ground turkey raw,169,8.7,2.3,3,2.5,0,0,22.4,0,78.7,0.047,82.5,0.041,0.037,0.073,0.08,0.2,7.7,1.1,0.6,0,0.086,0.1,0,21.7,0.1,1.2,26.2,0.096,228,270.2,0.025,2.7,54.095,
538,chicken wing cooked,52,3.5,1,1.4,0.8,0,0,4.8,0,14.7,0.086,13.1,0.041,0.036,0.071,0.092,0.097,1,0.1,0.086,0,0.022,0.052,0.092,2.5,0.095,0.2,3.4,0.041,25.4,29.2,0.092,0.3,11.058,
539,turkey roast roasted,209,7.8,2.6,1.6,2.2,4.1,0,28.8,0,71.6,0.9,91.6,0,0.058,0.054,0.079,0.2,8.5,1.1,0.4,0,0.084,0.5,0.09,6.8,0.037,2.2,29.7,0.066,329.4,402.3,0.081,3.4,49.7,
540,pheasant meat raw,144.8,7.43,2.16,3.46,0.94,0,0,18.16,0,56.8,0.03,54.22,0.04,0.06,0.0064,0.0015,0.11,5.14,0.74,0.53,4.24,0,0,0,9.6,0.05,0.92,16,0.01,171.2,194.4,0.01,0.77,40.39,
541,chicken back raw,188,17,4.9,7.2,3.6,0,0,8.3,0,46.6,0.043,34.3,0.087,0.022,0.084,0.026,0.063,2.9,0.5,0.1,0.9,0,0.2,0.03,7.7,0.066,0.6,8.9,0.024,66.7,85,0.009,0.7,34.564,
542,chicken back cooked,93,6.5,1.8,2.6,1.4,0,0,8,0,28.1,0.091,21.9,0.005,0.026,0.035,0.052,0.035,1.6,0.3,0.048,0,0.084,0.074,0.051,6.5,0.052,0.4,5.8,0.016,43.2,52.2,0.055,0.7,21.425,
543,chicken leg fried,431,25.5,6.8,10.4,6.1,13.8,0,34.4,0.5,142.2,0.4,82.3,0.07,0.2,0.089,0.056,0.3,8.6,1.6,0.4,0,0,0,0,28.4,0.1,2.2,31.6,0.043,240.2,298.6,0.041,3.4,104.858,
544,chicken feet cooked,97.5,6.62,1.78,2.49,1.35,0.09,0,8.8,0,38.1,0.03,29.85,0.01,0.03,0.04,0.0011,0.09,0.18,0,0.0052,0,0.0068,0.12,0.0036,39.92,0.05,0.41,2.27,0,37.65,14.06,0.0033,0.31,55.85,
545,turkey steak fried,179,10.8,2.8,4.4,2.8,10.9,0,9.1,0,41,0.5,31.6,0.092,0.075,0.071,0.088,0.1,1.3,0.3,0.1,0,0,0,0,9,0.01,1.4,9.6,0.028,149.8,166.4,0.013,0.9,41.229,
546,turkey taco meat cooked,271,13.9,3.2,4.7,3.9,5.5,0,30.7,0,129.9,1.2,128.1,0,0.1,0.051,0.062,0.6,5.5,1.1,0.5,0,0,0.5,0.089,126.3,0.072,3.3,49.4,0.3,329.4,543.5,0.067,4.6,179.7,
547,chicken leg raw,73.6,5.49,1.5,2.28,1.15,0.06,0,5.63,0,31.99,0.03,23.15,0.0018,0.03,0.0053,0.0096,0.05,1.63,0.34,0.11,0.07,0.0033,0.08,0.0096,3.1,0.02,0.24,6.54,0.0088,53.32,69.83,0.0091,0.51,14.5973,
548,chicken meat raw,197.8,13.86,3.97,5.74,2.97,0,0,17.11,0,69,0.06,60.71,0.04,0.06,0.0039,0.0069,0.11,6.26,0.84,0.32,1.47,0.0054,0.28,0.0054,10.12,0.04,0.83,18.4,0.02,135.24,173.88,0.01,1.21,43.43,
549,chicken neck cooked,94,6.9,1.9,2.7,1.5,0,0,7.5,0,26.6,0.085,23.5,0.065,0.05,0.078,0.079,0.035,1.3,0.2,0.033,0,0.087,0.1,0.032,10.3,0.065,0.9,4.9,0.095,46.4,41,0.054,1,25.616,
550,chicken drumstick fried,193,11.3,3,4.6,2.7,6,0,15.8,0.2,61.9,0.2,38,0.028,0.049,0.065,0.061,0.2,3.7,1.2,0.2,0,0,0,0,12.2,0.063,1,14.4,0.004,105.8,133.9,0.018,1.7,46.519,
551,quail egg,14,1,0.3,0.4,0.1,0.08,0.048,1.2,0,76,0.042,6.7,0.083,0.014,0.089,0.039,0.001,0.076,0.2,0.016,0,0.047,0.03,0.01,5.8,0.078,0.3,1.2,0.061,20.3,11.9,0.091,0.1,8.343,
552,duck meat cooked,472,39.7,13.5,18.1,5.1,0,0,26.6,0,117.6,0.041,72.6,0.008,0.2,0.073,0.098,0.4,6.8,1.5,0.3,0,0.067,1,0.047,15.4,0.3,3.8,22.4,0.071,218.4,285.6,0.092,2.6,85.544,
553,chicken wing roasted,216,14.3,4.2,6.6,3.1,0,0,20.2,0,119.9,0.039,50.5,0.073,0.017,0.005,0.069,0.08,0.1,5.4,0.8,0.5,0,0.094,0.6,0.024,15.3,0.092,0.7,16.2,0.095,125,180.2,0.032,35.155,
554,quail meat cooked,102.8,6.39,1.79,2.22,1.58,0,0,11.37,0,38.96,0.02,27.18,0.03,0.1,0.0098,0.002,0.14,3.59,0,0.28,1.04,0.0003,0.32,0.0074,6.8,0.27,2.01,9.97,0,126.39,97.85,0.0063,1.4,27.64,
555,goose meat cooked,427,30.7,9.6,14.4,3.5,0,0,35.2,0,127.4,0.089,72.7,0.081,0.1,0.039,0.076,0.5,5.8,2.1,0.5,0,0.002,2.4,0.026,18.2,0.4,4,30.8,0.082,378,460.6,0.047,3.7,88.168,
556,chicken breast cooked,114,4.5,1.3,1.8,1,0,0,17.3,0,48.7,0.058,36.2,0.08,0.018,0.092,0.074,0.056,7.4,0.5,0.3,0,0.019,0.2,0.004,8.1,0.012,0.6,15.7,0.024,124.1,142.1,0.046,0.6,30.552,
557,chicken neck raw,149,13.1,3.6,5.3,2.8,0,0,7,0,49.5,0.027,30,0.066,0.079,0.05,0.028,0.021,1.8,0.4,0.005,0,0,0.2,0,9,0.075,1,6.5,0.093,56,68.5,0.073,0.9,30.146,
558,duck egg,130,9.6,2.6,4.6,0.9,1,0.7,9,0,618.8,0.1,49.6,0.1,0.1,0.09,0.02,0.3,0.1,1.3,0.2,0,0.026,0.9,0.098,44.8,0.035,2.7,11.9,0.058,154,155.4,0.058,1,67.2,
559,pheasant breast raw,484,11.8,4,3.8,2,0,0,88.7,0,211.1,0.1,263.5,0.2,0.3,0.088,0.009,0.4,31.1,3.5,2.7,21.8,0,0,0,10.9,0.2,2.9,76.4,0.051,728,880.9,0.06,2.3,136.3,
560,duck meat raw,512.3,49.88,16.76,23.7,6.44,0,0,14.57,0,96.37,0.08,61.5,0.06,0.25,0.02,0.0048,0.27,4.99,1.21,0.24,3.55,0.0088,0.89,0.0025,13.95,0.3,3.04,19.02,0.02,176.25,265.01,0.02,1.72,85.05,
561,squab meat raw,585,47.4,16.8,19.3,6.1,0,0,36.8,0,189.1,0.1,112.6,0.1,0.4,0.054,0.012,0.4,12,1.5,0.8,10.3,0,0,0,23.9,0.9,7,43.8,0.021,493.5,396,0.087,4.4,125.5,
562,chicken drumstick raw,211,12.4,3.3,4.9,2.6,0.1,0,23.4,0,122.4,0.1,96.4,0.067,0.1,0.039,0.042,0.2,6.4,1.4,0.4,0,0.044,0.3,0.007,13.3,0.039,0.8,26.6,0.064,220.8,296.6,0.063,2.6,50.075,
563,turkey meat roasted,284,11.1,3.2,4,3.2,0.031,0,42.8,0,163.5,0.2,95.3,0.004,0.073,0.083,0.019,0.4,14.4,1.4,0.9,0,0.091,0.1,0,21,0.1,1.6,45,0.053,334.5,358.5,0.022,3.7,76.629,
564,chicken breast raw,299,16.1,4.6,6.6,3.4,0,0,36.3,0,111.4,0.1,120.9,0.026,0.1,0.082,0.057,0.1,17.2,1.4,0.9,0,0.053,0.5,0,19.1,0.003,1.3,43.5,0.017,302.8,382.8,0.029,1.4,72.834,
565,ground chicken cooked,474,27.4,7.8,12.2,5.2,0,0,58.4,0,268.6,0.2,162.9,0.2,0,0.3,0.093,0.079,0.8,17.8,3.3,1.4,0,0,1,0.044,20.1,0.2,2.3,70.3,0.038,587.3,1699.3,0.047,87.678,
566,turkey wing cooked,426,23.1,6.3,8.7,5.5,0,0,50.9,0,150.7,0.1,110.7,0,0.092,0.095,0.051,0.2,10.7,1.1,0.8,0,0.03,0.3,0,44.6,0.1,2.7,46.5,0.05,366.4,494.8,0.026,3.9,121.3,
567,goose meat raw,607.7,55.07,16.02,29.11,6.16,0,0,25.98,0,131.04,0.12,81.34,0.03,0.14,0.0094,0.0049,0.4,5.91,2.12,0.64,6.88,0,0,0,19.66,0.44,4.1,29.48,0.03,383.29,504.5,0.02,2.82,111.72,
568,turkey breast roasted,326.6,12.8,3.63,4.23,3.11,0,0,49.61,0,127.87,0.11,109.24,0,0.1,0.01,0.0004,0.23,11,1.1,0.83,0,0,0,0,36.29,0.08,2.42,46.66,0.03,362.88,497.66,0.05,3.51,101.12,
569,chicken fajita strips,13,0.5,0.2,0.2,0.1,0.2,0,1.7,0,8.3,0.044,6.6,0.041,0.028,0.062,0.011,0.021,0.4,0.005,0.049,0,0,0.031,0.015,1.2,0.034,0.097,2.1,0.099,26,26.7,0.018,0.1,3.66,
570,crispy chicken strips tyson,145,6,7.7,14.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
